cluster1	cluster2	cluster3	cluster4	cluster5	cluster6  
FAM238A	GTSF1L	FAM47E	CTPS2	MAPKAPK5	IFNG
FAM238B	GUCY1B2	FAM66B	CTRL	MAPT	IFT20
FAM238C	GUCY2GP	FAM71E1	CTSC	MAPT-IT1	IFT74-AS1
FAM240A	GUSBP5	FAM72A	CTSD	MAST4-AS1	IGF2BP2-AS1
FAM30A	GVQW2	FAM72B	CTSK	MAX	IGFBP5
FAM3D	GYG1	FAM72C	CTSO	MBD3L2B	IKZF5
FAM43B	GYPB	FAM72C.1	CTTN	MBD3L2B.1	IL11
FAM45BP	H2AFY2	FAM72D	CTU1	MBD3L5	IL12RB2
FAM47A	HABP4	FAM76B	CTXN1	MBNL1-AS1	IL13RA2
FAM47C	HACD4	FAM83E	CUEDC1	MBOAT4	IL1B
FAM49A	HAGH	FAM8A1	CUEDC2	MCEMP1	IL1RN
FAM50A	HAL	FAM90A7P	CUL4A	MCHR2	IL20RB
FAM50B	HAND2-AS1	FAM90A7P.1	CUL7	MCHR2-AS1	IL21
FAM66C	HAUS5	FAM92B	CUTA	MCM3	IL26
FAM71B	HAUS8	FANCC	CUTALP	MCM9	IL31RA
FAM83B	HBQ1	FANCE	CUTC	MECP2	IMMP1L
FAM83C	HCG25	FANCM	CUZD1	MED12	IMPDH1
FAM83D	HDAC11	FASTKD1	CWC27	MED13	INE1
FAM83F	HDAC4-AS1	FAT1	CWF19L1	MEDAG	ING1
FAM83G	HDC	FAT2	CXADR	MEF2B	ING2
FAM83H	HDGFL2	FBXL13	CXCL1	MEIOC	INGX
FAM83H-AS1	HEATR5A	FBXL17	CXCL12	MEOX1	INHBB
FAM89A	HECW1-IT1	FBXL19	CXCL17	MFN2	INIP
FAM95C	HEIH	FBXL2	CXCL2	MFRP	INO80B
FAM98B	HEMGN	FBXL21P	CXCL3	MFSD6	INO80C
FANCD2OS	HEPACAM	FBXL5	CXCL5	MGC12916	INPP5F
FAP	HEXB	FBXL6	CXCL6	MGC16275	INS-IGF2
FASN	HEXIM2	FBXL7	CXCR2	MICAL3	INTS4P1
FASTKD2	HEY2	FBXO11	CXXC5	MID2	INTS5
FAU	HGC6.3	FBXO15	CYB561	MIER1	INTS6
FBP1	HHEX	FBXO16	CYB5R1	MIER3	INTS6-AS1
FBXL12	HHIPL1	FBXO30	CYB5R2	MINAR1	INTS6L
FBXL15	HHLA1	FBXO33	CYB5R3	MIP	IPO11
FBXO36	HIBCH	FBXO34	CYBA	MIR100HG	IPO5P1
FBXO46	HIC1	FBXO38	CYBC1	MIR3652	IQCF4
FBXO9	HID1	FBXO4	CYBRD1	MIR3918	IQCJ-SCHIP1-AS1
FBXW5	HIGD1C	FBXO43	CYFIP2	MIR4527HG	IRAK3
FCAR	HIGD2B	FBXO45	CYGB	MIR7705	IREB2
FCER1G	HIP1R	FBXO47	CYHR1	MIR99AHG	IRF4
FCER2	HIPK4	FBXW10	CYP17A1	MKRN7P	IRF7
FCF1P2	HIST2H3D	FBXW11	CYP26A1	MLC1	IRGQ
FCHO2	HIST2H3DP1	FBXW4	CYP26C1	MLPH	IRS2
FCRL1	HIST2H3DP1.1	FBXW4P1	CYP27A1	MMP1	IRX3
FCRLA	HMGCL	FCGR1A	CYP27B1	MMP12	IRX5
FDXR	HNRNPUL2	FCHO1	CYP27C1	MMP21	ISLR2
FEM1A	HOXA-AS2	FER1L6	CYP2A13	MORC1	ISY1
FEM1B	HOXA3	FERMT2	CYP2B6	MPZL2	ITFG2-AS1
FENDRR	HOXD-AS2	FEZ2	CYP2C8	MRGBP	ITGA1
FERMT3	HOXD9	FFAR4	CYP2J2	MRGPRG-AS1	ITGAL
FES	HPSE2	FGD5	CYP2S1	MRPL42P5	ITGB1BP2
FFAR1	HRAT17	FGD6	CYP39A1	MSH2	ITLN1
FGA	HRAT92	FGF12-AS2	CYP51A1	MSX2P1	ITPRIP
FGB	HSD11B1	FGF14	CYREN	MTDH	ITPRIPL2
FGD2	HSD11B1-AS1	FGF9	CYSRT1	MTFR1	JCHAIN
FGF4	HSD11B1L	FHL5	CYTL1	MTHFR	JKAMP
FGF8	HSD17B13	FHOD3	CYTOR	MTMR10	JRKL
FGFBP2	HSD17B3	FICD	CYYR1	MTOR	JUN
FGFR2	HSD17B7P2	FIG4	CZIB	MTOR-AS1	KANSL2
FGFR3	HSD3B2	FIGNL1	D21S2088E	MTPAP	KANSL3
FGFR4	HSDL1	FKBP6	DACH2	MTRNR2L1	KANTR
FGG	HSF4	FLJ31104	DACT2	MTRNR2L6	KATNAL2
FGL1	HSFX3	FLJ42627	DAD1	MUC3A	KAZN-AS1
FGL2	HSPA14	FLT3	DALRD3	MUSK	KBTBD6
FHDC1	HSPB2-C11orf52	FLVCR2	DANCR	MUSTN1	KCCAT333
FIGN	HTR5A	FMN2	DAPK1	MVK	KCNA1
FIGNL2	HTRA1	FMNL1	DAPK1-IT1	MYH6	KCNAB3
FILIP1	HUS1B	FMNL2	DARS-AS1	MYH7	KCNC2
FILIP1L	HVCN1	FMO2	DARS2	MYL10	KCNC3
FILNC1	HYLS1	FN1	DAXX	MYLK3	KCNG3
FKBP1AP1	IAH1	FNBP1	DAZAP1	MYO18A	KCNH5
FLACC1	ICA1L	FNBP1L	DBI	MYO1A	KCNJ10
FLG	ICAM1	FNDC3B	DBN1	MYO1F	KCNJ11
FLG-AS1	ICAM2	FNDC5	DBNDD1	MYO3B-AS1	KCNJ3
FLG2	ICOS	FNIP2	DBNDD2	MYO6	KCNQ5
FLJ12825	ID2-AS1	FOSB	DBNL	MYOM1	KCNS1
FLJ16779	IDH1-AS1	FOXF2	DBX2	MYOZ2	KCNV1
FLJ40288	IDH2	FOXJ3	DCAF11	MYRFL	KCTD1
FLJ42393	IER2	FOXK2	DCAF12L2	MYT1L	KCTD12
FLJ42969	IER5L	FOXO3	DCAF7	NAA35	KCTD18
FLJ44635	IFFO1	FOXP4	DCAKD	NAA60	KCTD19
FLJ45513	IFNW1	FOXQ1	DCBLD2	NAB1	KCTD3
FLNB	IFT22	FPGT	DCDC1	NAGPA-AS1	KCTD4
FLNB-AS1	IFT46	FRA10AC1	DCHS1	NANOS2	KCTD9
FLRT1	IFT52	FRAT1	DCLK1	NAT8L	KDM4C
FLRT3	IGBP1	FREM3	DCLK3	NAV2-AS2	KDM4E
FLT4	IGDCC3	FRG1JP	DCN	NBEAL1	KDM5B
FMC1-LUC7L2	IGF2	FRMD3	DCP1B	NBR1	KDM7A-DT
FMOD	IGFALS	FRMD4B	DCTD	NCALD	KHDC1
FMR1NB	IGFBPL1	FRMD5	DCTN2	NCBP3	KHDC1L
FNBP4	IGFN1	FRRS1L	DCTN6	NCOR1	KHDC4
FNDC3A	IGHMBP2	FRYL	DCTPP1	NDUFAF4P1	KIAA1191
FNDC4	IGLL3P	FSIP2	DCUN1D5	NEB	KIAA2026
FOLR1	IGSF23	FSTL4	DCXR-DT	NECTIN3-AS1	KIF19
FOLR3	IKBKB	FSTL5	DDAH1	NEFM	KIF26A
FOXA2	IL10	FTHL17	DDAH2	NEK10	KIF27
FOXC2	IL13	FTL	DDB2	NEK11	KIF4B
FOXE1	IL15RA	FTMT	DDIT4	NEK7	KIF9-AS1
FOXI3	IL16	FURIN	DDOST	NEK9	KIN
FOXJ2	IL17RA	FUT10	DDR1	NEPRO	KITLG
FOXK1	IL20RA	FYB2	DDR2	NEUROD1	KLF10
FOXN3	IL22RA2	FYCO1	DDRGK1	NEUROD4	KLF14
FOXN3-AS2	IL2RA	FYN	DDX1	NF1	KLF16
FOXN4	IL31	FZD1	DDX19B	NF1P2	KLF17
FOXO4	IL34	FZD3	DDX25	NF1P2.1	KLF5
FOXO6	IL5RA	FZD6	DDX28	NFIA	KLF9
FOXP1-AS1	IL7	GAB1	DDX39A	NGLY1	KLHL11
FOXP4-AS1	IL9	GAB2	DDX39B	NHLH2	KLHL15
FPR2	ILKAP	GABARAPL3	DDX41	NHLRC2	KLHL21
FRG1-DT	IMMP2L	GABBR2	DDX49	NIN	KLHL41
FRG1BP	IMPA2	GABPB1	DDX52	NINL	KLHL6
FRMD4A	INAFM2	GABRG3	DDX56	NIPBL	KLK11
FRMD6	INCA1	GABRR3	DDX60	NKAIN2	KLK2
FRRS1	INHBA	GALC	DECR1	NKAPD1	KLK5
FRZB	INPP1	GALNT1	DEF6	NKTR	KLRB1
FSCN1	INPP4B	GALNT3	DEK	NKX2-1-AS1	KLRC2
FST	INSIG2	GALNT5	DELE1	NKX2-3	KLRD1
FTSJ3	INTS12	GALNTL5	DENND3	NKX6-2	KLRG1
FUBP3	INTS7	GALNTL6	DENR	NLGN1	KMT5A
FUCA1	INVS	GAREM1	DEPDC1	NLRC3	KMT5B
FUOM	IP6K1	GAS2L3	DEPDC1-AS1	NLRC4	KPNA1
FUT3	IPO11-LRRC70	GAS7	DEPDC1B	NLRP11	KPNA2
FUT6	IPO13	GATAD2B	DERL1	NLRP8	KPNA6
FXN	IQCF1	GBF1	DERL2	NOD2	KPTN
FXYD3	IQCG	GBP2	DERPC	NOL10	KRAS
FXYD4	IQCH	GBP7	DESI2	NOL4	KRBA2
FYB1	IQCH-AS1	GCA	DEXI	NOM1	KRBOX1-AS1
FZD10	IQGAP3	GCC2	DFFA	NOP2	KRBOX4
FZD4	IQSEC1	GCH1	DGCR11	NPHP3-AS1	KRT10
FZD5	IRF2BPL	GDA	DGCR5	NPIPB11	KRT12
GABARAPL1	IRGM	GDAP1	DGCR6L	NPIPB4	KRT17
GABPB1-IT1	ITGA8	GDF9	DGKA	NPNT	KRT222
GABRA2	ITGA9-AS1	GDPD4	DGKH	NR1D1	KRT27
GABRA4	ITGB1BP1	GEM	DGKK	NR4A3	KRT42P
GADD45G	ITGB4	GEMIN5	DGLUCY	NRCAM	KRT80
GAGE1	ITIH2	GFPT1	DGUOK	NRDE2	KRT9
GAGE12J	ITPKB-IT1	GFRA2	DHCR7	NRL	KY
GAK	ITPR1-DT	GFY	DHFR	NTN4	LACC1
GALK2	ITPRID1	GGNBP2	DHODH	NTRK3-AS1	LACRT
GALNT10	ITPRIP-AS1	GHRH	DHPS	NUDT11	LALBA
GALNT6	IYD	GIT1	DHRS1	NUFIP2	LAMP5-AS1
GALNT8	IZUMO1R	GIT2	DHRS11	NUP58	LAMTOR5
GAN	IZUMO4	GJC1	DHRS13	NUTM2D	LAMTOR5-AS1
GAS1	JAG2	GKAP1	DHRS2	NXNL2	LARP1B
GAS2L1P2	JAKMIP1	GLB1L	DHRS4	NXPE2	LARP4
GAS2L2	JAM2	GLCCI1	DHRS4-AS1	OACYLP	LAT2
GAS6	JARID2-AS1	GLCE	DHRS4L1	OAS3	LATS1
GASAL1	JDP2	GLIPR1	DHRS4L2	ODF2	LBH
GASK1B	JMJD7	GLIPR1L2	DHRS7	OGFRP1	LBR
GAST	JPH2	GLRB	DHRS7B	OLFM2	LBX1-AS1
GATA2	JPH3	GLT6D1	DHX30	OLIG3	LCLAT1
GATA2-AS1	JPX	GLYATL1	DHX35	OPA1	LCMT2
GATA3	JUND	GMCL1	DIABLO	OPN1SW	LEAP2
GATA4	KANK1	GMDS	DIAPH2	OPN5	LECT2
GATA5	KANSL1	GNA11	DIAPH2-AS1	OR2A4	LEMD1-AS1
GATAD2A	KATNB1	GNA12	DICER1-AS1	OR2AG2	LEMD3
GATB	KATNBL1	GNA14	DIMT1	OR2D3	LENG1
GATD3B	KATNBL1P6	GNAI1	DIXDC1	OR2L3	LENG8
GAU1	KBTBD11	GNAQ	DKC1	OR2M5	LENG9
GBA	KBTBD11-OT1	GNB1	DKK3	OR2M7	LEUTX
GBA2	KBTBD3	GNB4	DKKL1	OR2T11	LGALS7B
GBA3	KCNA3	GNG12	DLG5-AS1	OR2V1	LGALS9
GBGT1	KCNA4	GNG2	DLGAP1	OR2W5	LGALS9C
GCGR	KCNB1	GNPAT	DLGAP1-AS1	OR3A2	LGI1
GCKR	KCNB2	GNPDA2	DLGAP1-AS2	OR3A3	LGI4
GCM1	KCNC1	GNPTAB	DLGAP1-AS4	OR4D10	LHB
GCN1	KCNC4	GNPTG	DLGAP1-AS5	OR51B5	LHFPL3-AS1
GDF11	KCNE1	GNS	DLGAP4	OR51Q1	LHFPL3-AS2
GDF15	KCNE2	GOLGA1	DLGAP4-AS1	OR51T1	LIAS
GDF3	KCNG2	GOLGA2	DMAC1	OR52E1	LIFR
GDF5	KCNH3	GOLGA2P11	DMAC2	OR52K2	LILRA3
GDF7	KCNH8	GOLGA3	DMAP1	OR5D14	LILRP2
GDPD1	KCNIP2-AS1	GOLGA5	DMBT1P1	OR9G9	LIM2
GDPD2	KCNJ4	GOLGA6A	DMC1	ORC2	LIN54
GDPD3	KCNJ8	GOLGA6B	DMKN	ORM2	LINC-ROR
GEN1	KCNK10	GOLGA6C	DMPK	OSBPL8	LINC00158
GET4	KCNK12	GOLGA6D	DNAAF2	OSER1-DT	LINC00167
GFER	KCNK15	GOLGA6L10	DNAH14	OSGIN1	LINC00221
GGA1	KCNK15-AS1	GOLGA6L17P	DNAH17-AS1	OSTM1-AS1	LINC00226
GGA2	KCNK16	GOLGA6L4	DNAJA3	OTOF	LINC00242
GGN	KCNK18	GOLGA6L7	DNAJB11	OTX2	LINC00266-1
GGT8P	KCNK5	GOLGA7	DNAJB5	OVOS2	LINC00294
GGTLC1	KCNK9	GOLGA8CP	DNAJC10	P2RY1	LINC00324
GHITM	KCNRG	GOLGA8DP	DNAJC12	P3R3URF	LINC00337
GIMAP1-GIMAP5	KCTD16	GOLGA8H	DNAJC19	PACSIN2	LINC00348
GIMAP6	KCTD21	GOLGA8J	DNAJC30	PALM3	LINC00355
GJA1	KDF1	GOLGA8N	DNAJC4	PAN3	LINC00359
GJA10	KHK	GOLGA8O	DNAJC5	PAPLN	LINC00366
GJB3	KIAA0513	GOLGA8R	DNAJC7	PAPOLG	LINC00408
GJB4	KIAA0556	GOLGA8S	DNALI1	PARG	LINC00426
GJD3	KIAA1143	GOLPH3	DNASE1	PAX9	LINC00437
GK	KIAA1328	GOLPH3L	DNASE1L1	PAXBP1-AS1	LINC00466
GK2	KIAA1614	GOLT1B	DNER	PBX2	LINC00476
GK3P	KIAA1755	GOPC	DNHD1	PBX3	LINC00501
GLA	KIAA2012	GP1BA	DNM1	PCAT18	LINC00540
GLDC	KIAA2012-AS1	GPAM	DNM1L	PCAT7	LINC00564
GLIPR2	KIF24	GPANK1	DNMT3B	PCBP2	LINC00570
GLP1R	KIF2B	GPAT3	DNPEP	PCDH10	LINC00571
GLP2R	KIF3C	GPATCH1	DNPH1	PCDH12	LINC00597
GLRA1	KIF7	GPATCH2	DNTTIP1	PCDH19	LINC00601
GLRA3	KIRREL3	GPBP1	DOC2A	PCDH8	LINC00605
GLT8D1	KLC3	GPC5	DOC2GP	PCDHA1	LINC00612
GLTPD2	KLHDC1	GPD1	DOCK5	PCDHA5	LINC00618
GLUD1	KLHL29	GPD1L	DOHH	PCDHAC2	LINC00629
GLYCTK-AS1	KLHL35	GPHA2	DOK4	PCDHB7	LINC00640
GM2A	KLHL36	GPHN	DOLK	PDC	LINC00641
GMCL2	KLHL7	GPLD1	DOLPP1	PDE1A	LINC00648
GMFG	KLRC3	GPM6A	DONSON	PDE1B	LINC00652
GNAL	KLRC4-KLRK1	GPR1	DPAGT1	PDE6A	LINC00653
GNAT1	KRBOX1	GPR119	DPEP3	PDE6C	LINC00680
GNE	KRT13	GPR132	DPH1	PDHA2	LINC00680-GUSBP4
GNLY	KRT16	GPR137B	DPH5	PDK2	LINC00682
GNRH2	KRT16P1	GPR137C	DPH6	PDK4	LINC00701
GNRHR	KRT72	GPR149	DPH7	PEAK1	LINC00839
GOLGA4	KRTAP10-3	GPR158	DPM2	PEAR1	LINC00852
GOLGA6L3	KRTAP8-1	GPR3	DPM3	PECAM1	LINC00863
GOLGA6L9	KTN1-AS1	GPR31	DPP7	PEX1	LINC00909
GOLGA6L9.1	KYNU	GPR33	DPP9	PEX14	LINC00921
GOLGA7B	LAD1	GPR37	DPPA4	PEX5L-AS2	LINC00926
GOLGA8A	LAMB4	GPR75-ASB3	DPY19L2	PGM5P2	LINC00951
GOLGA8B	LAMTOR3	GRAMD1C	DPYD	PHC3	LINC00997
GOLGA8EP	LARS2	GRB7	DPYSL2	PHF10	LINC01023
GOLGB1	LCMT1	GRHL1	DPYSL3	PHF14	LINC01033
GORASP1	LCMT1-AS1	GRHL3	DPYSL4	PHF21A	LINC01043
GP1BB	LDHAL6A	GRIA2	DRAP1	PHF3	LINC01141
GP2	LDHC	GRIK2	DRAXIN	PHKB	LINC01179
GP6	LDHD	GRIN2A	DRC1	PHOX2B	LINC01189
GPAT4	LDLRAP1	GRIN2B	DRD2	PI4K2B	LINC01191
GPBAR1	LEF1-AS1	GRIP1	DRD3	PICALM	LINC01193
GPIHBP1	LENEP	GRK3	DRG1	PIGA	LINC01206
GPR1-AS	LEPROTL1	GRK7	DRG2	PIGZ	LINC01215
GPR108	LGALS12	GRM3	DSCC1	PIH1D2	LINC01224
GPR12	LGALS4	GRM4	DSPP	PIK3R6	LINC01226
GPR142	LGALS7	GRM5	DSTN	PILRB	LINC01233
GPR153	LGALS8	GRM8	DTD1	PIN4P1	LINC01241
GPR160	LGALS8-AS1	GRTP1	DTD2	PIPSL	LINC01242
GPR161	LGI2	GRTP1-AS1	DTNA	PITPNB	LINC01247
GPR17	LGI3	GSAP	DTWD1	PKD1L3	LINC01260
GPR171	LHFPL2	GSE1	DTX1	PLA2G2A	LINC01268
GPR173	LHX4	GSN-AS1	DTX3	PLA2R1	LINC01279
GPR179	LHX5-AS1	GSX2	DTX3L	PLCD4	LINC01280
GPR18	LHX6	GTF2A1L	DTYMK	PLCE1	LINC01297
GPR182	LHX8	GTF2E1	DUBR	PLCE1-AS2	LINC01301
GPR20	LIFR-AS1	GTF2IP23	DUOX1	PLEKHA4	LINC01353
GPR21	LIG1	GTF2IRD1P1	DUS2	PLEKHA6	LINC01355
GPR26	LIMD1	GTSE1	DUSP13	PLEKHH2	LINC01359
GPR32	LIMD1-AS1	GUCD1	DUSP15	PLEKHH3	LINC01363
GPR61	LIN37	GUCY1A1	DUSP2	PLEKHM1	LINC01364
GPR65	LIN7B	GUCY1A2	DUSP23	PLXNB3	LINC01412
GPR68	LINC00200	GUCY2C	DUSP3	PMS2P3	LINC01414
GPR82	LINC00229	GUCY2D	DUSP6	PMS2P9	LINC01419
GPRC5A	LINC00251	GVINP1	DUT	PNMA6F	LINC01425
GPRC5C	LINC00254	GYPA	DVL3	POLA1	LINC01450
GPRIN2	LINC00312	H1FOO	DXO	POLD3	LINC01451
GPRIN3	LINC00313	H2BFS	DYDC2	POLK	LINC01465
GPS2	LINC00316	H3F3B	DYNC1H1	POLL	LINC01473
GPSM3	LINC00334	HABP2	DYNC1LI1	POLR1B	LINC01474
GPX2	LINC00339	HACD2	DYNLL1	POLR3D	LINC01480
GRAMD2B	LINC00351	HACE1	DYNLT1	POLR3G	LINC01481
GRB10	LINC00354	HAGLR	DZIP1L	POPDC3	LINC01494
GREB1L	LINC00363	HAP1	E2F3	POU2F1	LINC01498
GREM2	LINC00376	HAPLN3	E2F4	POU2F2	LINC01514
GRID1	LINC00382	HAS3	E2F5	POU2F3	LINC01518
GRIK1	LINC00383	HASPIN	E2F7	POU6F2-AS2	LINC01524
GRIP2	LINC00400	HAUS4	EARS2	PP12613	LINC01538
GRK1	LINC00412	HBG1	EBI3	PPDPF	LINC01554
GRK2	LINC00433	HBP1	EBNA1BP2	PPFIA2	LINC01562
GRK4	LINC00449	HCFC1	EBPL	PPIAL4G	LINC01566
GRK6P1	LINC00457	HCFC2	ECD	PPM1L	LINC01568
GRM1	LINC00458	HCG18	ECE2	PPP1R13B	LINC01588
GRP	LINC00474	HCN4	ECEL1	PPP2R1B	LINC01592
GSDMB	LINC00484	HDAC11-AS1	ECH1	PPP2R2A	LINC01600
GSEC	LINC00492	HDAC4	ECHDC1	PPP2R2C	LINC01621
GSK3B	LINC00515	HDAC9	ECHDC3	PPP3CC	LINC01687
GSN	LINC00520	HDGFL1	ECHS1	PPP3R1	LINC01703
GSTA2	LINC00526	HEATR5B	ECI1	PPP4R1	LINC01715
GSTA3	LINC00534	HECTD2	ECM1	PPWD1	LINC01733
GSTA7P	LINC00536	HECTD2-AS1	ECPAS	PRAC2	LINC01740
GSTK1	LINC00598	HECW2	ECSIT	PRAMEF1	LINC01742
GSTP1	LINC00599	HELT	EDEM2	PRAMEF10	LINC01754
GTF2IP1	LINC00607	HELZ	EDF1	PRAMEF10.1	LINC01783
GTF2IP1.1	LINC00609	HENMT1	EDIL3	PRAMEF14	LINC01804
GTF2IP20	LINC00616	HEPHL1	EDN1	PRAMEF36P	LINC01813
GTF2IP4	LINC00632	HEPN1	EDN2	PRAMEF36P.1	LINC01822
GTF2IP4.1	LINC00654	HERC1	EDN3	PRAMEF6	LINC01835
GTF2IRD2	LINC00663	HERC2	EDNRB	PRAMEF6.1	LINC01841
GTF2IRD2.1	LINC00691	HERC2P10	EEF1A1	PRDM8	LINC01847
GTF3A	LINC00693	HERPUD2	EEF1AKMT3	PRDM9	LINC01854
GUCA1B	LINC00709	HES6	EEF1AKMT4-ECE2	PRELP	LINC01877
GUF1	LINC00836	HES7	EEF1B2	PRG4	LINC01879
GUK1	LINC00844	HFM1	EEF1E1	PRKAG1	LINC01882
GUSB	LINC00847	HHAT	EEF1G	PRKCA	LINC01895
GUSBP11	LINC00853	HIC2	EEF2KMT	PRKD1	LINC01898
GXYLT1	LINC00856	HINT1	EFCAB1	PRKG1	LINC01925
GXYLT2	LINC00882	HIP1	EFCAB2	PRKG1-AS1	LINC01932
GYS1	LINC00884	HIPK1	EFCAB9	PRMT8	LINC01949
GZF1	LINC00885	HIPK2	EFEMP1	PROCA1	LINC01954
H19	LINC00898	HIRIP3	EFEMP2	PROX1-AS1	LINC01973
H1FX	LINC00907	HIST1H1A	EFHC1	PROX2	LINC01977
H2AFJ	LINC00910	HIVEP1	EFNA2	PROZ	LINC01993
H2AFX	LINC00933	HJURP	EFTUD2	PRPF6	LINC02005
HAGLROS	LINC00937	HLA-DRB6	EGFL7	PRR12	LINC02028
HAND1	LINC00943	HLCS	EGFR	PRR14L	LINC02028.1
HAPLN1	LINC00989	HLF	EGLN2	PRR32	LINC02032
HAS2	LINC00994	HLTF-AS1	EHBP1L1	PRR36	LINC02037
HAUS6	LINC00996	HMBOX1	EHD2	PRRC2A	LINC02053
HAVCR1	LINC00999	HMCES	EHD3	PRRG2	LINC02060
HAVCR1P1	LINC01006	HMCN1	EHMT2	PRRT1	LINC02065
HAVCR2	LINC01010	HMG20A	EI24	PRSS37	LINC02085
HBA1	LINC01011	HMGCLL1	EID1	PRTG	LINC02089
HBE1	LINC01022	HMGN2	EID2B	PSMD1	LINC02106
HCAR2	LINC01030	HMGXB3	EIF1AY	PSMD2	LINC02124
HCAR3	LINC01038	HMGXB4	EIF2AK1	PTCHD1-AS	LINC02133
HCCS	LINC01046	HNF1A	EIF2AK4	PTCHD3	LINC02158
HCLS1	LINC01063	HNF1A-AS1	EIF2B3	PTEN	LINC02160
HCRTR1	LINC01085	HNRNPA1L2	EIF2B4	PTENP1-AS	LINC02174
HDAC6	LINC01091	HNRNPUL2-BSCL2	EIF2B5	PTGER4	LINC02181
HDAC8	LINC01093	HOMER1	EIF2D	PTP4A2	LINC02203
HDDC3	LINC01099	HOMER2	EIF2S3B	PTPRD	LINC02203.1
HEATR3	LINC01107	HOXA-AS3	EIF3CL	PTPRJ	LINC02203.2
HEATR9	LINC01115	HOXA10-HOXA9	EIF3CL.1	PTPRM	LINC02213
HECTD1	LINC01120	HOXA2	EIF3E	PTX3	LINC02214
HECW2-AS1	LINC01121	HOXA7	EIF3F	PUM2	LINC02229
HEG1	LINC01128	HOXD4	EIF3G	PURG	LINC02238
HELZ2	LINC01144	HOXD8	EIF3H	PUS10	LINC02256
HEMK1	LINC01148	HPF1	EIF3I	PUS7L	LINC02261
HERC2P11	LINC01166	HPRT1	EIF3L	PWRN1	LINC02266
HERC2P3	LINC01168	HPS3	EIF3M	PWWP3B	LINC02293
HERPUD1	LINC01170	HPS5	EIF4B	PXT1	LINC02322
HEXA-AS1	LINC01181	HRG	EIF4E2	QTRT2	LINC02372
HGD	LINC01182	HS6ST3	EIF4EBP1	R3HDM2	LINC02380
HID1-AS1	LINC01187	HSF2BP	EIF4EBP2	RAB2B	LINC02384
HIGD1A	LINC01214	HSF5	EIF4H	RAB33B	LINC02411
HIGD2A	LINC01220	HSPA12A	EIF5A	RAB4B-EGLN2	LINC02412
HILS1	LINC01231	HSPA12B	EIF6	RABEP2	LINC02432
HINT3	LINC01249	HSPA1L	ELAC1	RABL2A	LINC02447
HIST1H1B	LINC01251	HSPA4L	ELF3-AS1	RAD18	LINC02488
HIST1H1C	LINC01258	HSPB1	ELN	RAD21	LINC02501
HIST1H1E	LINC01259	HSPB11	ELOB	RAD21-AS1	LINC02516
HIST1H2AB	LINC01303	HSPB6	ELOF1	RAD21L1	LINC02526
HIST1H2AD	LINC01309	HSPB9	ELOVL6	RAET1E	LINC02532
HIST1H2AE	LINC01312	HSPBAP1	ELP2	RAET1K	LINC02538
HIST1H2AI	LINC01317	HTR1D	ELP5	RALGAPB	LINC02550
HIST1H2AJ	LINC01318	HTR1F	ELP6	RANBP17	LINC02569
HIST1H2AK	LINC01338	HTR2A	EMB	RANGAP1	LINC02583
HIST1H2AL	LINC01339	HTR3C	EMBP1	RAP2C	LINC02588
HIST1H2BA	LINC01341	HTR3D	EMC6	RASA4	LINC02616
HIST1H2BE	LINC01362	HTR5A-AS1	EMC7	RASSF8	LINC02620
HIST1H2BF	LINC01397	HUNK	EMC9	RASSF8-AS1	LINCMD1
HIST1H2BI	LINC01399	HYAL6P	EMD	RB1-DT	LINCR-0003
HIST1H2BM	LINC01429	HYDIN	EMG1	RBM26-AS1	LINS1
HIST1H3B	LINC01431	IBA57-DT	EMID1	RBM6	LIPT1
HIST1H3D	LINC01433	ICA1	EML2	RBMX2	LL22NC03-63E9.3
HIST1H3F	LINC01440	ICE1	EMP3	RBMXL3	LLPH
HIST1H3H	LINC01483	IDE	ENC1	RCOR3	LMO2
HIST1H3J	LINC01492	IER3IP1	ENO1	RCSD1	LMTK3
HIST1H4C	LINC01500	IFNAR1	ENOPH1	REG1B	LMX1A
HIST1H4L	LINC01504	IFNAR2	ENPP1	RELL2	LNX2
HIST2H2AB	LINC01506	IFNE	ENPP4	RELN	LOC100126784
HIST2H2AC	LINC01511	IFNGR2	ENPP5	RFPL3	LOC100128108
HIST2H2BC	LINC01515	IFT122	ENPP6	RFPL3S	LOC100129148
HIST2H3A	LINC01534	IFT74	ENSA	RFPL4A	LOC100129175
HIST3H2A	LINC01535	IGDCC4	ENTPD3-AS1	RFPL4AL1	LOC100129203
HIST3H3	LINC01545	IGF1R	ENTPD4	RFPL4B	LOC100129540
HIVEP3	LINC01563	IGF2BP3	ENTPD6	RFX3	LOC100129724
HKDC1	LINC01570	IGFBP1	EP400P1	RFX4	LOC100129917
HLA-DRB1	LINC01580	IGFBP3	EPCAM	RFXAP	LOC100130075
HLA-E	LINC01585	IGLL5	EPDR1	RGMB-AS1	LOC100130264
HLA-F	LINC01590	IGSF10	EPHA1	RGPD6	LOC100130357
HLX	LINC01591	IGSF11	EPHA2	RGPD6.1	LOC100130691
HMCN2	LINC01612	IGSF9	EPHA5	RGS18	LOC100130992
HMGCR	LINC01614	IL10RA	EPHA6	RGS4	LOC100132356
HMGCS1	LINC01616	IL12B	EPHA8	RGS7BP	LOC100133091
HMOX1	LINC01624	IL17B	EPHB4	RHOJ	LOC100287497
HMOX2	LINC01625	IL17C	EPHB6	RIBC1	LOC100288748
