human_gene_name,mouse_gene_name,zou_annotation,zygote,twoC,fourC,eightC,ICM,E8,L4i,WT_mESC,PARPKO_mESC
PLEKHM3,Plekhm3,maternal_oocyte,0.415863894,0.251374524,-0.164016505,0.362779127,-0.86600104,0.580055184,-0.580055184,-0.903951875,0.903951875
DOK5,Dok5,maternal_oocyte,0.680345445,1.154148501,0.184043758,-0.724567807,-1.293969896,0.59510308,-0.59510308,-0.867006947,0.867006947
ABLIM2,Ablim2,maternal_oocyte,-0.320720807,-0.125989907,-0.244347589,-0.739356554,1.430414858,0.597763689,-0.597763689,0.802506695,-0.802506695
PPFIBP2,Ppfibp2,maternal_oocyte,-0.056198339,0.479528535,0.221556746,-0.83702681,0.192139868,0.602173386,-0.602173386,-0.891326345,0.891326345
ANO8,Ano8,maternal_oocyte,-0.244882299,0.454339383,-0.698321816,-0.698321816,1.187186548,0.611047744,-0.611047744,-0.898127113,0.898127113
BTBD8,Btbd8,maternal_oocyte,0.103204685,-0.048815269,1.26241006,-0.679914805,-0.636884671,0.613401994,-0.613401994,-0.487200866,0.487200866
GREB1,Greb1,maternal_oocyte,-0.08290692,0.494897787,1.431163212,-0.886467765,-0.956686314,0.618408052,-0.618408052,-0.877671058,0.877671058
CACNB2,Cacnb2,maternal_oocyte,0.53116486,-0.191908687,0.051113144,-1.021455278,0.631085961,0.62680162,-0.62680162,-0.888927419,0.888927419
ZNF287,Zfp287,maternal_oocyte,0.084306674,0.695579632,-0.948669388,1.008352689,-0.839569607,0.634499263,-0.634499263,-0.889690344,0.889690344
POMGNT2,Pomgnt2,maternal_oocyte,-0.154067447,-0.394903341,-0.742347983,-0.200279366,1.491598136,0.635342719,-0.635342719,-0.820535748,0.820535748
USP45,Usp45,maternal_oocyte,0.744476985,0.760637594,0.771963176,-1.101800038,-1.175277718,0.636128693,-0.636128693,0.784969764,-0.784969764
ZBTB7C,Zbtb7c,maternal_oocyte,1.51518973,0.582625116,-0.264741221,-0.869835162,-0.963238463,0.638358787,-0.638358787,0.899956893,-0.899956893
MBTPS1,Mbtps1,maternal_oocyte,-0.171510422,0.153730647,1.52744849,-0.751651772,-0.758016943,0.640978098,-0.640978098,-0.901181708,0.901181708
PRKCE,Prkce,maternal_oocyte,0.64822883,0.982484209,-0.250911421,-0.576229621,-0.803571997,0.64407899,-0.64407899,-0.820592831,0.820592831
DIP2C,Dip2c,maternal_oocyte,0.229495201,0.61661466,1.079323104,-0.718306116,-1.207126848,0.645493544,-0.645493544,0.554809853,-0.554809853
RGS11,Rgs11,maternal_oocyte,-0.487054247,-0.487054247,-0.0329658,-0.077115787,1.084190081,0.65564747,-0.65564747,-0.832339722,0.832339722
TRAF3IP2,Traf3ip2,maternal_oocyte,0.782786754,1.210528721,0.13760915,-1.039711005,-1.09121362,0.658181087,-0.658181087,0.674944098,-0.674944098
RAB11FIP5,Rab11fip5,maternal_oocyte,-0.106158139,0.889012061,-0.533304815,-0.462140901,0.212591794,0.663657048,-0.663657048,0.894655739,-0.894655739
GRHL2,Grhl2,maternal_oocyte,-0.362742126,0.182944752,1.241902046,-1.153596651,0.091491979,0.664591272,-0.664591272,0.893103823,-0.893103823
EPHX2,Ephx2,maternal_oocyte,0.598282129,0.428770701,-0.589732319,-0.230929235,-0.206391277,0.664797397,-0.664797397,0.875498622,-0.875498622
MVP,Mvp,maternal_oocyte,-0.032036562,0.623236932,1.02587969,-0.120776438,-1.496303622,0.673088136,-0.673088136,-0.784680813,0.784680813
GRIK3,Grik3,maternal_oocyte,-0.068842581,-0.208097637,-0.566004757,-0.180778752,1.023723727,0.676860471,-0.676860471,0.853021726,-0.853021726
USP3,Usp3,maternal_oocyte,0.018111261,1.29904545,-0.015472393,-0.568965356,-0.732718961,0.677552418,-0.677552418,0.7567441,-0.7567441
FHAD1,Fhad1,maternal_oocyte,0.512190985,0.347578839,0.483196566,-0.024548868,-1.318417522,0.683485176,-0.683485176,0.558783038,-0.558783038
SNX1,Snx1,maternal_oocyte,-0.35783331,0.631529893,0.694731858,0.439143342,-1.407571784,0.688710244,-0.688710244,0.910774139,-0.910774139
PIK3CD,Pik3cd,maternal_oocyte,0.460321382,-0.076226246,1.241058408,-0.815839808,-0.809313736,0.688939671,-0.688939671,-0.864525498,0.864525498
PLCB1,Plcb1,maternal_oocyte,0.587204733,0.235454904,1.205225249,-0.748613585,-1.279271301,0.691651081,-0.691651081,-0.867029874,0.867029874
CRELD1,Creld1,maternal_oocyte,-0.012882259,-0.225302838,-0.642953515,0.069127721,0.812010892,0.700175245,-0.700175245,0.864211624,-0.864211624
FBF1,Fbf1,maternal_oocyte,-0.70636572,1.466972313,-0.70636572,-0.70636572,0.652124847,0.700262722,-0.700262722,-0.391952537,0.391952537
ZNF512,Zfp512,maternal_oocyte,0.751389124,0.905156814,-0.125991043,-0.391858337,-1.138696559,0.700412432,-0.700412432,-0.65836484,0.65836484
MAP3K10,Map3k10,maternal_oocyte,0.188871216,-0.894744524,0.809073208,-0.487938255,0.384738355,0.701457891,-0.701457891,0.723899524,-0.723899524
PSEN2,Psen2,maternal_oocyte,0.902945123,0.438423496,-0.096044834,-0.76521665,-0.480107135,0.702377625,-0.702377625,0.881154671,-0.881154671
ANKH,Ank,maternal_oocyte,0.569872838,0.983638405,0.530827439,-0.614491168,-1.469847514,0.704532195,-0.704532195,0.867835449,-0.867835449
NCK2,Nck2,maternal_oocyte,1.341905849,0.35726414,0.067003574,-1.342337758,-0.423835805,0.708718607,-0.708718607,-0.831107547,0.831107547
ACAT1,Acat1,maternal_oocyte,0.850088119,0.665971744,-0.55638716,-1.086548662,0.126875959,0.710559263,-0.710559263,-0.703056717,0.703056717
AGPAT3,Agpat3,maternal_oocyte,0.442463775,0.697429128,0.576387549,-1.036296022,-0.679984429,0.712934473,-0.712934473,0.830854065,-0.830854065
DLL3,Dll3,maternal_oocyte,0.275378102,0.892068109,0.059233963,0.085895344,-1.312575518,0.717447487,-0.717447487,-0.835355263,0.835355263
PPP6R2,Ppp6r2,maternal_oocyte,-0.641278465,-0.385676603,0.866848762,-0.139349244,0.299455551,0.71862784,-0.71862784,-0.83773938,0.83773938
DUSP5,Dusp5,maternal_oocyte,0.255580748,-0.174435742,-1.013663558,0.0845312,0.847987351,0.718742326,-0.718742326,-0.884441773,0.884441773
JPH3,Jph3,maternal_oocyte,0.850862259,0.693934384,0.536317377,-0.893197404,-1.187916616,0.71887491,-0.71887491,-0.905833619,0.905833619
ADA,Ada,maternal_oocyte,-0.115456786,-0.085877882,-0.373623233,-0.878846543,1.453804443,0.721723324,-0.721723324,0.76737765,-0.76737765
KLHL36,Klhl36,maternal_oocyte,-0.594479415,1.563773302,-0.708593337,0.010436089,-0.271136639,0.72350732,-0.72350732,-0.900930754,0.900930754
SPIRE2,Spire2,maternal_oocyte,0.411474647,0.049564731,-1.158880986,0.06719794,0.630643668,0.723574296,-0.723574296,0.816378455,-0.816378455
ST3GAL5,St3gal5,maternal_oocyte,0.266649778,-0.295576521,1.479381143,-0.658934798,-0.791519601,0.730589275,-0.730589275,-0.910408564,0.910408564
NKD2,Nkd2,maternal_oocyte,-0.403707324,0.179439257,1.471775676,-0.848699685,-0.398807924,0.731805947,-0.731805947,-0.798500465,0.798500465
ABHD2,Abhd2,maternal_oocyte,0.799871765,0.81631928,0.500712152,-0.820509981,-1.296393216,0.737489696,-0.737489696,0.57522729,-0.57522729
ZFP2,Zfp2,maternal_oocyte,0.307163482,0.171614973,-0.70016447,0.039614548,0.181771467,0.737922935,-0.737922935,-0.838285308,0.838285308
RABL3,Rabl3,maternal_oocyte,-0.546380146,-0.771667553,-0.360664227,1.11549024,0.563221686,0.738676582,-0.738676582,-0.80958148,0.80958148
SLX4,Slx4,maternal_oocyte,-0.151021623,0.894116391,-0.896234722,0.146109742,0.007030212,0.73959217,-0.73959217,0.789478257,-0.789478257
SNPH,Snph,maternal_oocyte,-0.027740151,-0.029844531,1.687676868,-0.912008462,-0.718083724,0.746150932,-0.746150932,-0.900712671,0.900712671
NOL4L,Nol4l,maternal_oocyte,0.824925015,0.378024501,0.234902433,-0.812430127,-0.625421822,0.750921281,-0.750921281,0.814365097,-0.814365097
RNF122,Rnf122,maternal_oocyte,0.899381482,0.139891645,0.890484346,-0.524316559,-1.405440913,0.751549916,-0.751549916,-0.883913716,0.883913716
PML,Pml,maternal_oocyte,-0.519382344,-0.138446898,-0.745764787,0.832718263,0.570875766,0.756721444,-0.756721444,-0.708897785,0.708897785
BCL2L13,Bcl2l13,maternal_oocyte,0.521175858,0.507108403,-0.248801487,0.823139617,-1.60262239,0.75684376,-0.75684376,0.846788329,-0.846788329
ROBO3,Robo3,maternal_oocyte,0.039909945,0.961402188,1.009770388,-1.066809057,-0.944273463,0.758109734,-0.758109734,0.816327135,-0.816327135
CRACR2A,Cracr2a,maternal_oocyte,-0.90332802,-0.551418036,0.11011562,0.521008978,0.823621458,0.760171058,-0.760171058,-0.820376556,0.820376556
CCDC50,Ccdc50,maternal_oocyte,0.407497302,0.726083913,1.039749598,-1.016270155,-1.157060658,0.778091787,-0.778091787,0.852146251,-0.852146251
ADCY9,Adcy9,maternal_oocyte,0.662340215,0.684280133,0.878352063,-0.814847854,-1.410124556,0.783116447,-0.783116447,0.706066102,-0.706066102
HEXB,Hexb,maternal_oocyte,0.632145873,0.614547881,-0.259705787,-1.532153119,0.545165152,0.784031678,-0.784031678,0.756312101,-0.756312101
GID4,Gid4,maternal_oocyte,0.771648128,0.673787421,0.465536081,-1.411897277,-0.499074353,0.792294694,-0.792294694,-0.887673444,0.887673444
PSD4,Psd4,maternal_oocyte,-0.548396375,-0.235249808,0.136500379,-0.548396375,1.195542178,0.794151844,-0.794151844,0.900557385,-0.900557385
CHD7,Chd7,maternal_oocyte,1.065889227,0.119736792,0.614756216,-1.0187441,-0.781638134,0.80009734,-0.80009734,-0.894536303,0.894536303
ANKS1B,Anks1b,maternal_oocyte,0.498016553,0.873187671,0.298347214,-0.011559162,-1.657992276,0.801044355,-0.801044355,-0.893224253,0.893224253
FAM149A,Fam149a,maternal_oocyte,1.161559073,0.439150608,0.636549228,-1.042098739,-1.195160169,0.801923293,-0.801923293,-0.815394872,0.815394872
C14orf39,4930447C04Rik,maternal_oocyte,0.461231023,-0.266503701,-0.272085089,1.181274714,-1.103916947,0.802697216,-0.802697216,-0.387380592,0.387380592
FARP1,Farp1,maternal_oocyte,0.012339215,0.965847472,0.034814177,-1.051689281,0.038688418,0.806042621,-0.806042621,-0.908847326,0.908847326
NOD1,Nod1,maternal_oocyte,0.780000162,0.410188358,0.675988546,-0.711990295,-1.154186771,0.807222586,-0.807222586,-0.876703287,0.876703287
CD38,Cd38,maternal_oocyte,1.00233251,0.529756598,0.264562537,-0.773994935,-1.02265671,0.809057244,-0.809057244,0.874410693,-0.874410693
IGDCC3,Igdcc3,maternal_oocyte,1.016457797,0.897048258,-0.222847215,-0.807178669,-0.883480172,0.809971689,-0.809971689,0.831281347,-0.831281347
ERICH2,Erich2,maternal_oocyte,0.503723431,-0.179022026,-0.912413273,0.580346364,0.007365503,0.820038114,-0.820038114,-0.882851945,0.882851945
PDE9A,Pde9a,maternal_oocyte,0.994390635,0.917452224,-0.048767216,-0.824218375,-1.038857268,0.820286655,-0.820286655,0.838414605,-0.838414605
TEAD3,Tead3,maternal_oocyte,-0.296536533,-0.158372846,-0.519734669,-0.584026028,1.558670076,0.8311377,-0.8311377,-0.880863094,0.880863094
MLF1,Mlf1,maternal_oocyte,0.388289594,0.403992404,-0.264713874,1.062787533,-1.590355657,0.832399833,-0.832399833,-0.892422649,0.892422649
SLC6A6,Slc6a6,maternal_oocyte,0.275824166,0.033538999,0.214758666,-1.514432136,0.990310304,0.832769225,-0.832769225,0.867871603,-0.867871603
CCNB2,Ccnb2,maternal_oocyte,0.59206426,1.134791017,0.374480045,-1.077809275,-1.023526047,0.839341721,-0.839341721,0.73304106,-0.73304106
SCRN2,Scrn2,maternal_oocyte,-0.531449218,1.397585512,-0.940087267,-0.416312467,0.49026344,0.843295685,-0.843295685,-0.895058568,0.895058568
MKS1,Mks1,maternal_oocyte,0.149083973,0.381633944,1.169360687,-1.132498504,-0.5675801,0.84662961,-0.84662961,-0.835085569,0.835085569
PIEZO1,Piezo1,maternal_oocyte,0.93012882,-0.37890232,-0.821761931,0.858424473,-0.587889042,0.846644314,-0.846644314,-0.623579406,0.623579406
CD59,Cd59b,maternal_oocyte,0.673483624,0.55437702,0.771070517,-0.958371765,-1.040559395,0.849579819,-0.849579819,0.877722361,-0.877722361
USHBP1,Ushbp1,maternal_oocyte,-0.402672279,-0.402672279,-0.402672279,0.043405906,1.164610932,0.851097965,-0.851097965,0.898804916,-0.898804916
SUSD4,Susd4,maternal_oocyte,1.015679559,0.338345541,-0.693229636,-0.444411217,-0.216384246,0.853415834,-0.853415834,-0.82162057,0.82162057
CACNA1C,Cacna1c,maternal_oocyte,0.647291977,1.137860048,-0.213895292,-0.518526122,-1.052730611,0.857025472,-0.857025472,0.861300668,-0.861300668
TK2,Tk2,maternal_oocyte,0.110646306,0.461075106,-0.348042618,0.327686385,-0.55136518,0.8593759,-0.8593759,-0.8428504,0.8428504
CHCHD6,Chchd6,maternal_oocyte,0.382214206,0.97201842,0.41981416,-0.653250752,-1.120796034,0.859677035,-0.859677035,-0.760810765,0.760810765
CGN,Cgn,maternal_oocyte,-0.189426521,-0.090587466,-0.372845745,-1.08738096,1.740240692,0.860443485,-0.860443485,-0.894387731,0.894387731
ZNF18,Zkscan6,maternal_oocyte,-0.285229383,0.102664393,-0.436636533,-0.117137925,0.736339448,0.867085646,-0.867085646,-0.658508015,0.658508015
RASGRP1,Rasgrp1,maternal_oocyte,1.104484069,-0.051585022,0.149477066,-0.545659391,-0.656716722,0.867489861,-0.867489861,-0.780127548,0.780127548
PLEKHG3,Plekhg3,maternal_oocyte,0.496130318,1.240535573,0.281822027,-0.983812636,-1.034675283,0.871493748,-0.871493748,0.896965104,-0.896965104
IER2,Ier2,maternal_oocyte,0.485272004,0.795678075,-0.099897365,-1.70421515,0.523162437,0.871932143,-0.871932143,-0.532984476,0.532984476
SLC45A1,Slc45a1,maternal_oocyte,-0.606006207,0.163550904,1.316546184,-0.606006207,-0.268084673,0.874616323,-0.874616323,-0.793612541,0.793612541
PLA2G4C,Pla2g4c,maternal_oocyte,0.01846705,0.683312365,1.08944185,-0.25774528,-1.533475985,0.878736918,-0.878736918,0.869659075,-0.869659075
MBP,Mbp,maternal_oocyte,0.538759993,1.188263436,0.213165105,-0.955607209,-0.984581325,0.884795975,-0.884795975,-0.850663212,0.850663212
FBLN2,Fbln2,maternal_oocyte,-0.37002887,0.666018103,-0.553411169,0.546088797,-0.288666861,0.886498947,-0.886498947,-0.653160939,0.653160939
LHFPL2,Lhfpl2,maternal_oocyte,0.493939853,0.489901078,0.89695097,-1.124989201,-0.755802701,0.898743486,-0.898743486,-0.862283776,0.862283776
ARRDC1,Arrdc1,maternal_oocyte,-0.014886074,-0.222682269,0.854583895,-0.918272353,0.301256802,0.903978578,-0.903978578,-0.880182798,0.880182798
MFSD2A,Mfsd2a,maternal_oocyte,-0.2915398,-0.170271746,-0.554160798,1.833769495,-0.817797152,0.909519264,-0.909519264,-0.770821096,0.770821096
TNIK,Tnik,maternal_oocyte,0.590889202,0.610105392,0.798252192,-0.530132311,-1.469114475,0.919696909,-0.919696909,0.797714059,-0.797714059
PDCD4,Pdcd4,maternal_oocyte,0.835449483,-0.060060239,-0.807690971,0.518354592,-0.486052866,0.931615196,-0.931615196,-0.79246879,0.79246879
EDRF1,Edrf1,maternal_1C_2C,0.215202186,0.68661663,-0.003713852,0.647555016,-1.54565998,-0.932156129,0.932156129,0.881022713,-0.881022713
SLC43A2,Slc43a2,maternal_1C_2C,-0.513643783,-0.757870778,-0.004393707,-0.188629496,1.464537764,-0.920051777,0.920051777,-0.828053557,0.828053557
PIP4K2C,Pip4k2c,maternal_1C_2C,1.095958442,0.170373857,0.058962832,-1.001607658,-0.323687472,-0.883110394,0.883110394,0.86986441,-0.86986441
LEO1,Leo1,maternal_1C_2C,-0.174878996,-0.039281312,-0.251439278,1.037566564,-0.571966978,-0.880779931,0.880779931,0.829562746,-0.829562746
NCOA6,Ncoa6,maternal_1C_2C,-0.002745884,1.470627597,0.291698033,-0.595218451,-1.164361295,-0.871369488,0.871369488,0.771177645,-0.771177645
NEFH,Nefh,maternal_1C_2C,0.616553117,0.211134724,-0.228697993,0.394943335,-0.993933182,-0.869356266,0.869356266,-0.560382784,0.560382784
CRMP1,Crmp1,maternal_1C_2C,0.940389321,1.062848897,0.028675097,-0.819398307,-1.212515007,-0.869308601,0.869308601,-0.890149504,0.890149504
LRRC8C,Lrrc8c,maternal_1C_2C,1.107202229,0.42075557,0.385778373,-0.787710246,-1.126025925,-0.868182897,0.868182897,-0.901952753,0.901952753
RPS6KC1,Rps6kc1,maternal_1C_2C,0.598353958,0.060999666,1.056360073,-0.221154622,-1.494559075,-0.855254433,0.855254433,0.908059675,-0.908059675
DCUN1D3,Dcun1d3,maternal_1C_2C,0.903579535,0.439007186,-0.319186701,-1.094740129,0.071340109,-0.8540692,0.8540692,-0.692192177,0.692192177
SLC10A7,Slc10a7,maternal_1C_2C,1.286645969,0.786158137,-0.55749502,-0.726814375,-0.788494712,-0.8529451,0.8529451,-0.863292447,0.863292447
TULP3,Tulp3,maternal_1C_2C,0.19750383,0.694467674,1.183629757,-0.681379716,-1.394221545,-0.848190186,0.848190186,0.716783887,-0.716783887
PPHLN1,Pphln1,maternal_1C_2C,0.799089453,0.808493888,0.216900839,-0.258617919,-1.565866261,-0.845847294,0.845847294,-0.894820926,0.894820926
KDM4A,Kdm4a,maternal_1C_2C,0.215752732,0.334472282,0.704944749,0.491273104,-1.746442867,-0.84445923,0.84445923,0.895700799,-0.895700799
RBM17,Rbm17,maternal_1C_2C,0.527726748,0.667261634,1.051863745,-1.020551405,-1.226300721,-0.842737695,0.842737695,0.709323668,-0.709323668
RAP2B,Rap2b,maternal_1C_2C,0.913211446,0.17966332,-0.946896907,-0.832914324,0.686936465,-0.842270168,0.842270168,-0.883874606,0.883874606
RIOK1,Riok1,maternal_1C_2C,0.86227735,0.788497519,0.457542894,-0.556791901,-1.551525862,-0.840034668,0.840034668,0.776027188,-0.776027188
LAGE3,Lage3,maternal_1C_2C,0.993282231,0.833623799,-0.781215272,-0.877708524,-0.167982235,-0.839805908,0.839805908,0.843881337,-0.843881337
TPD52,Tpd52,maternal_1C_2C,1.396963078,0.499565876,0.13981876,-0.858752375,-1.17759534,-0.838780597,0.838780597,-0.718490355,0.718490355
TRMT6,Trmt6,maternal_1C_2C,-0.673525655,-0.019264861,-0.347865896,0.917238576,0.123417836,-0.837855597,0.837855597,0.824140774,-0.824140774
MYO1E,Myo1e,maternal_1C_2C,-0.593765146,0.311172002,0.433827483,0.148010989,-0.299245327,-0.837111729,0.837111729,0.674161594,-0.674161594
DYNC2H1,Dync2h1,maternal_1C_2C,0.778390382,0.83934278,0.475797996,-0.869154349,-1.224376809,-0.835279938,0.835279938,-0.640622136,0.640622136
MTSS1,Mtss1,maternal_1C_2C,0.830093292,0.92904479,0.426433667,-1.065770916,-1.119800834,-0.833688618,0.833688618,-0.669729638,0.669729638
NUP88,Nup88,maternal_1C_2C,0.659895685,0.902524941,0.531127561,-0.907284377,-1.18626381,-0.833107736,0.833107736,-0.8340868,0.8340868
MAPRE2,Mapre2,maternal_1C_2C,0.164802353,0.457043363,0.997929831,-0.051159336,-1.568616211,-0.829768182,0.829768182,-0.895314894,0.895314894
CCDC91,Ccdc91,maternal_1C_2C,0.653260328,0.427880516,0.888215383,-0.889011637,-1.080344589,-0.826498518,0.826498518,0.802162424,-0.802162424
NKX3-1,Nkx3-1,maternal_1C_2C,0.832471106,0.788631465,0.225296549,-0.794917261,-1.051481859,-0.824596974,0.824596974,-0.910283586,0.910283586
CIP2A,Cip2a,maternal_1C_2C,1.080433976,0.092691467,-1.048889472,0.608267914,-0.732503885,-0.822331004,0.822331004,0.75966153,-0.75966153
CAPZA1,Capza1,maternal_1C_2C,1.044199322,0.090731296,0.150807593,-1.296133723,0.010395511,-0.816434334,0.816434334,0.839025301,-0.839025301
WIPF2,Wipf2,maternal_1C_2C,0.927437066,0.551145189,0.602116563,-0.863154163,-1.217544655,-0.815957227,0.815957227,-0.854388255,0.854388255
GEMIN5,Gemin5,maternal_1C_2C,0.603445611,0.792472988,0.843656069,-0.885972939,-1.35360173,-0.813625299,0.813625299,-0.718315079,0.718315079
KIT,Kit,maternal_1C_2C,1.183828527,0.712537424,0.253740683,-1.072775862,-1.077330772,-0.813579474,0.813579474,0.667931741,-0.667931741
CHST15,Chst15,maternal_1C_2C,0.723887587,0.237446296,-0.544001194,0.628997578,-1.046330267,-0.812547134,0.812547134,-0.894316913,0.894316913
KIF3A,Kif3a,maternal_1C_2C,0.979002692,0.523005996,0.699414314,-0.870467484,-1.330955518,-0.811723575,0.811723575,-0.7517805,0.7517805
CRK,Crk,maternal_1C_2C,0.133248802,-0.114491361,0.616276425,-0.076213694,-0.558820171,-0.81063893,0.81063893,-0.790135602,0.790135602
CBX1,Cbx1,maternal_1C_2C,0.638798168,0.435434998,0.656512826,-0.356741739,-1.374004254,-0.810303201,0.810303201,-0.84325629,0.84325629
DPPA3,Dppa3,maternal_1C_2C,0.60495188,0.925560146,-0.021419714,0.008741168,-1.51783348,-0.809640469,0.809640469,-0.833691366,0.833691366
ZNF44,Zfp961,maternal_1C_2C,0.427700856,0.069134401,0.395795392,-0.772312868,-0.12031778,-0.805224936,0.805224936,-0.859017925,0.859017925
PPIL4,Ppil4,maternal_1C_2C,1.253490312,0.575507205,0.287544221,-1.088000262,-1.028541476,-0.804780637,0.804780637,0.631817857,-0.631817857
ORC5,Orc5,maternal_1C_2C,0.803684649,0.68790107,0.522330531,-0.882441755,-1.131474494,-0.802288795,0.802288795,0.86459643,-0.86459643
OSBPL3,Osbpl3,maternal_1C_2C,1.250493598,0.363119855,-0.330089075,-1.113626886,-0.169897492,-0.802131529,0.802131529,-0.85617055,0.85617055
KLHL20,Klhl20,maternal_1C_2C,1.078163086,0.882455706,-0.164834077,-0.314812152,-1.480972563,-0.796427599,0.796427599,0.599657344,-0.599657344
SWT1,Swt1,maternal_1C_2C,0.451121397,0.15853563,1.065324501,-0.200116078,-1.474865449,-0.796122055,0.796122055,0.705485432,-0.705485432
MYO7A,Myo7a,maternal_1C_2C,0.789426858,0.707282534,-0.430349442,-1.119431269,0.053071319,-0.793560713,0.793560713,-0.909778575,0.909778575
HMGCLL1,Hmgcll1,maternal_1C_2C,0.973632312,0.41885547,-0.110442518,-0.498553835,-0.783491429,-0.792770382,0.792770382,-0.827499243,0.827499243
NSL1,Nsl1,maternal_1C_2C,0.823854738,0.798035766,0.306326306,-1.553777206,-0.374439604,-0.784716738,0.784716738,-0.683458972,0.683458972
TCF7,Tcf7,maternal_1C_2C,0.004982916,0.538760798,0.637478224,0.034046201,-1.215268139,-0.784244803,0.784244803,-0.882546402,0.882546402
WDR20,Wdr20rt,maternal_1C_2C,1.096550669,0.358053453,-0.345184935,0.516567758,-1.625986944,-0.782836326,0.782836326,0.849435711,-0.849435711
ETS1,Ets1,maternal_1C_2C,1.041383497,0.264990577,0.653679402,-0.784531726,-1.175521751,-0.781147623,0.781147623,-0.908118945,0.908118945
BMP2K,Bmp2k,maternal_1C_2C,1.070507534,0.744978237,0.002102178,-0.816454472,-1.001133478,-0.778842013,0.778842013,-0.862298712,0.862298712
TDRD1,Tdrd1,maternal_1C_2C,0.651179782,0.361572593,1.04683203,-0.873993055,-1.185591351,-0.778787681,0.778787681,-0.880867346,0.880867346
ZNF143,Zfp143,maternal_1C_2C,0.090538356,0.558158432,0.955508804,-0.158700961,-1.445504632,-0.776151786,0.776151786,0.502331628,-0.502331628
TEX15,Tex15,maternal_1C_2C,0.580851194,0.584809045,0.865276066,-0.39594318,-1.634993125,-0.774061104,0.774061104,-0.833488112,0.833488112
GAB1,Gab1,maternal_1C_2C,0.445726492,0.796866334,0.939610732,-0.726217486,-1.455986072,-0.769197518,0.769197518,-0.895799453,0.895799453
PLEKHF2,Plekhf2,maternal_1C_2C,1.264482278,0.702742572,0.082733784,-0.955067808,-1.094890825,-0.769052502,0.769052502,-0.382120064,0.382120064
ELOVL4,Elovl4,maternal_1C_2C,1.204641964,0.796515601,-0.002877581,-0.598669896,-1.399610089,-0.768913934,0.768913934,-0.880819996,0.880819996
MBD4,Mbd4,maternal_1C_2C,0.542125185,0.556265907,0.745987267,-0.410567659,-1.4338107,-0.765695359,0.765695359,0.806533338,-0.806533338
MTA3,Mta3,maternal_1C_2C,1.540562425,-0.539872594,0.438780287,-0.307143017,-1.132327101,-0.760518766,0.760518766,0.430820367,-0.430820367
TCOF1,Tcof1,maternal_1C_2C,-0.402123218,0.581150372,1.297312615,-0.39534624,-1.080993529,-0.759360064,0.759360064,0.761619541,-0.761619541
KIF18A,Kif18a,maternal_1C_2C,0.506361969,-0.251178381,0.72449084,0.400046805,-1.379721233,-0.759176027,0.759176027,0.742070993,-0.742070993
TRIM59,Trim59,maternal_1C_2C,1.406687693,0.6136738,-0.361653641,-0.957394739,-0.701313113,-0.759073366,0.759073366,-0.797551141,0.797551141
GNAI1,Gnai1,maternal_1C_2C,1.137805475,0.73415706,0.138084065,-0.60592388,-1.40412272,-0.75490361,0.75490361,-0.791698632,0.791698632
NPTN,Nptn,maternal_1C_2C,0.845163907,-0.393538723,-1.138899104,0.410563798,0.276710122,-0.754740823,0.754740823,0.459610134,-0.459610134
CDK2AP2,Cdk2ap2,maternal_1C_2C,1.148714676,0.799458045,0.074060039,-0.859707735,-1.162525026,-0.753930909,0.753930909,0.798743642,-0.798743642
OGG1,Ogg1,maternal_1C_2C,-0.203037122,1.4864806,-0.324285137,-0.415021456,-0.544136885,-0.749838044,0.749838044,0.883806468,-0.883806468
GSAP,Gsap,maternal_1C_2C,0.783907475,0.899897152,0.464284564,-0.743558862,-1.40453033,-0.749359908,0.749359908,-0.848213483,0.848213483
PCSK9,Pcsk9,maternal_1C_2C,0.686966254,-0.302229994,1.053436007,-0.986516505,-0.451655762,-0.747196184,0.747196184,-0.861256388,0.861256388
ALOX15,Alox15,maternal_1C_2C,0.750168348,1.175295281,0.043348821,-0.776905929,-1.19190652,-0.746317192,0.746317192,-0.74419481,0.74419481
DPF1,Dpf1,maternal_1C_2C,-0.37269369,0.082814926,0.057473794,-0.790827904,1.023232873,-0.742933079,0.742933079,0.880164292,-0.880164292
SAMHD1,Samhd1,maternal_1C_2C,0.271515601,0.682721219,1.200729995,-1.157192625,-0.997774191,-0.742809573,0.742809573,-0.80181356,0.80181356
TNFAIP8,Tnfaip8,maternal_1C_2C,1.333424592,0.10103968,0.486008245,-1.082067694,-0.838404823,-0.74074296,0.74074296,-0.797642187,0.797642187
WDR76,Wdr76,maternal_1C_2C,0.347028764,0.495609975,1.048387559,-0.404860256,-1.486166042,-0.737343028,0.737343028,0.710102835,-0.710102835
CEP162,Cep162,maternal_1C_2C,0.628999377,-0.010782186,1.074101235,-0.424131737,-1.268186689,-0.734583362,0.734583362,0.323471011,-0.323471011
BTBD10,Btbd10,maternal_1C_2C,0.523534421,0.570916631,1.115789416,-1.079015176,-1.131225292,-0.732661295,0.732661295,0.774583614,-0.774583614
THRB,Thrb,maternal_1C_2C,0.958578899,0.894655069,0.344288578,-0.8590549,-1.338467646,-0.732157149,0.732157149,0.857913215,-0.857913215
DAAM1,Daam1,maternal_1C_2C,1.135745944,0.492045798,0.501149907,-0.854260029,-1.27468162,-0.730808578,0.730808578,0.709360692,-0.709360692
