"","zygote_r1","zygote_r2","twoC_r1","twoC_r2","fourC_r1","fourC_r2","eightC_r1","eightC_r2","ICM_r1","ICM_r2"
"LINC00940",0,0,0,0,0,0,0,0,0,0
"DCP1B",26,70,58,182,50,0,8,4,36,37
"ENSG00000203593",0,2,2,0,1,0,0,0,0,0
"ENSG00000256837",0,0,0,0,0,0,0,0,0,1
"ENSG00000282022",2,0,0,0,1,0,0,0,0,0
"PHC1",24,28,30,12,18,4,18,0,29,16
"M6PR",54,138,78,188,88,72,8,106,116,282
"KLRG1",66,116,93,80,10,13,132,200,14,17
"ENSG00000257105",0,0,0,0,0,0,0,1,2,0
"HNRNPA1P34",0,0,2,8,0,0,0,0,0,0
"ENSG00000255776",0,0,0,0,0,0,0,0,0,2
"LINC00612",0,0,0,0,0,0,0,8,0,0
"A2M-AS1",0,0,0,0,0,0,0,0,0,4
"ENSG00000256937",0,0,0,0,0,0,0,0,1,0
"ENSG00000256720",0,0,0,0,0,0,0,0,0,3
"PZP",0,0,0,0,0,0,0,0,6,0
"ENSG00000256817",0,0,0,0,0,0,0,0,0,0
"MIR1244-3",2,0,2,0,2,2,20,19,23,29
"ENSG00000231503",0,0,0,0,0,0,1,4,6,1
"RN7SKP216",0,0,0,0,0,0,0,0,0,0
"ENSG00000255830",0,0,0,0,0,0,0,0,0,0
"ENSG00000258244",0,0,0,0,0,0,0,0,1,0
"LOC124903026",0,0,0,0,0,0,0,0,0,0
"ENSG00000199220",0,0,0,0,0,0,0,0,2,0
"TBX5",234,384,310,475,180,405,30,24,8,0
"RNU6-879P",0,0,0,0,0,0,0,0,0,0
"R3HDM2-DT",0,0,0,0,0,0,1,0,1,0
"INHBC",0,0,2,0,0,0,0,0,0,0
"LOC124902947",0,0,0,0,0,0,0,0,0,0
"GLI1",0,0,0,0,0,4,0,2,0,0
"ARHGAP9",0,0,0,0,0,0,10,20,0,2
"MARS1",178,170,273,238,229,212,156,398,469,826
"MIR6758",0,0,0,0,0,0,0,0,0,0
"LOC128125814",0,0,0,0,0,0,0,0,0,0
"MIR616",0,0,0,0,1,0,0,0,0,0
"MBD6",0,6,10,5,6,2,0,3,10,18
"PIP4K2C",382,589,400,325,309,160,162,31,128,222
"DTX3",6,2,4,2,0,0,0,0,10,0
"ARHGEF25",0,0,0,0,0,0,0,0,0,0
"ENSG00000224713",0,0,0,0,0,0,0,0,2,0
"ENSG00000287908",0,0,0,0,0,0,0,0,0,0
"B4GALNT1",0,0,0,0,0,0,0,28,5,2
"ENSG00000242990",0,0,0,0,0,0,0,0,2,0
"ENSG00000257342",0,0,0,0,0,0,0,0,0,0
"AGAP2-AS1",0,0,0,0,0,0,0,0,0,0
"TSPAN31",0,0,0,0,0,0,2,0,18,30
"CDK4",6,23,2,0,2,0,44,17,296,468
"MIR6759",0,0,0,0,0,0,0,0,0,0
"MARCHF9",0,0,0,0,0,2,0,0,14,26
"METTL1",27,79,33,38,44,18,138,267,175,269
"EEF1AKMT3",6,18,16,25,0,0,18,2,4,13
"ENSG00000257921",0,0,0,0,0,0,0,0,0,0
"TSFM",0,1,3,10,0,0,2,5,1,2
"ENSG00000270039",14,22,26,6,13,0,0,0,2,0
"RNU6-1083P",0,0,0,0,0,0,0,0,0,0
"ENSG00000269903",0,0,0,0,0,0,0,0,0,0
"ENSG00000229899",0,0,0,0,0,0,0,0,0,0
"LOC105369736",0,0,0,0,0,0,0,0,0,0
"RNU6-713P",0,0,0,0,0,0,0,0,0,0
"ENSG00000257680",0,0,0,0,0,0,0,0,0,0
"ENSG00000266923",0,0,0,0,0,0,0,0,0,0
"MTCH2P2",0,0,0,0,0,0,0,0,0,0
"RPS4XP15",0,0,0,0,0,0,0,0,0,0
"C12orf50",0,0,0,0,8,0,5,0,2,0
"RLIG1",873,1499,790,1018,198,84,180,126,453,519
"RNA5SP364",0,0,0,0,0,0,0,0,0,0
"LOC100420011",0,0,0,0,0,0,0,0,3,0
"LRRC43",3,0,12,0,2,8,2,0,2,0
"IL31",0,0,0,0,0,0,0,0,0,0
"B3GNT4",55,54,59,71,43,86,12,14,2,2
"ENSG00000256861",0,0,0,0,0,0,0,0,0,0
"VPS33A",24,10,20,26,14,17,1,4,75,136
"RPL21P1",0,0,0,2,0,0,0,0,6,0
"ENSG00000257097",0,0,0,0,0,0,0,0,0,7
"ENSG00000227825",0,0,0,0,12,0,0,0,0,0
"ENSG00000225185",0,0,0,0,0,0,0,0,0,0
"SNORA53",0,0,0,0,0,0,0,0,6,2
"IKBIP",164,80,170,34,54,42,49,106,32,24
"TMPO",906,1250,909,1059,454,927,1021,1999,952,682
"RBP5",0,1,8,0,7,14,0,0,4,2
"RNU6-485P",0,0,0,0,0,0,0,0,1,0
"ENSG00000256967",0,0,0,0,0,0,0,0,0,0
"CLSTN3",20,64,38,73,28,52,22,7,3,1
"ENSG00000285770",0,0,0,0,0,0,0,0,1,0
"ENSG00000255572",1,9,4,5,0,0,0,0,0,0
"LOC100420983",0,0,0,0,0,0,0,0,0,0
"ENSG00000258012",2,0,2,0,14,0,0,0,2,4
"ENSG00000257195",0,5,0,2,0,0,4,10,7,0
"ENSG00000279551",0,0,0,0,0,0,0,0,0,0
"LOC101928002",0,0,0,0,0,0,8,0,0,0
"ENSG00000258052",0,0,0,0,0,0,0,0,0,0
"MYRFL",2,0,0,0,6,110,29,18,26,8
"ENSG00000257241",0,0,0,0,0,0,0,0,2,0
"ENSG00000257139",0,21,0,0,0,0,1,0,0,0
"ENSG00000287132",0,0,0,0,0,0,0,0,0,0
"ENSG00000279530",0,0,0,0,0,0,0,14,81,26
"KCNMB4",0,0,0,0,6,11,18,136,50,28
"RNU4-65P",0,0,0,0,0,0,0,0,0,0
"A2M",0,0,0,0,0,2,0,2,2,0
"AVPR1A",10,2,0,0,0,0,2,0,0,0
"BCL7A",45,19,33,80,74,4,6,91,16,32
"MSRB3",6,0,0,0,3,0,18,51,9,0
"ASIC1",8,20,12,26,4,6,6,0,9,14
"C12orf75",448,572,350,214,224,56,40,56,70,118
"SMIM41",0,0,0,0,0,0,0,0,0,0
"KLRC3",0,0,0,0,0,0,0,0,0,3
"ZNF268",244,226,219,278,73,399,432,1058,179,86
"DYRK2",35,33,38,62,63,22,80,83,126,178
"WASHC4",2166,3294,2967,1878,1816,4292,821,1443,503,718
"KANSL2",504,971,838,888,445,707,904,1905,489,613
"SLCO1B3",8,6,12,12,6,6,2,0,6,0
"ACAD10",10,0,0,0,14,0,21,8,14,8
"KCNC2",0,0,0,0,2,0,10,2,2,0
"ZFC3H1",296,553,444,442,215,319,345,1322,290,421
"NEDD1",6592,9763,7672,6011,4624,5066,1310,1751,365,202
"TNS2",0,0,0,2,0,0,0,0,11,0
"NINJ2-AS1",3,16,22,24,5,0,10,0,1,0
"ENSG00000256672",0,0,2,0,0,0,0,0,0,0
"RNU4ATAC16P",0,0,0,0,0,0,0,0,2,6
"ENSG00000285704",0,0,0,0,0,0,0,0,2,2
"RAD52",0,18,4,1,10,22,32,157,69,65
"ENSG00000250132",0,0,2,0,0,11,10,2,6,0
"LPCAT3",2,0,0,0,0,0,0,0,60,53
"RPL37P20",0,0,0,0,0,0,6,19,0,0
"ENSG00000257078",12,0,4,0,0,0,0,0,0,0
"C1R",0,0,0,0,0,0,0,0,4,6
"PEX5",91,82,82,125,28,80,8,73,38,44
"FAM222A",12,38,4,4,8,0,2,0,4,6
"FAM222A-AS1",30,24,20,16,8,70,6,6,0,1
"MIR4497",0,0,0,0,0,0,0,0,0,0
"ENSG00000256351",0,0,0,0,0,0,0,0,0,0
"RN7SL441P",0,0,0,0,0,0,0,0,0,0
"ENSG00000249094",0,0,0,0,0,0,0,0,0,0
"RNU6-399P",0,0,0,0,0,0,0,0,0,0
"LINC01465",0,0,0,0,0,4,8,0,0,0
"MIRLET7IHG",41,4,37,12,13,126,24,0,20,0
"MIRLET7I",0,0,0,0,0,0,0,0,0,0
"RPL32P26",6,0,6,0,4,0,1,0,4,0
"TRPV4",78,60,33,90,90,10,0,20,4,4
"GLTP",12,8,5,20,13,0,32,0,68,179
"ENSG00000255892",0,0,0,0,0,0,0,0,0,0
"ENSG00000255960",0,0,0,0,0,0,0,0,0,0
"ZKSCAN7P1",0,0,0,0,0,0,0,0,0,0
"PLCZ1",0,26,6,0,9,0,2,0,0,0
"PSMC1P9",2,2,2,0,4,2,2,6,8,8
"ENSG00000255648",0,0,0,0,0,0,0,0,0,0
"CAPZA3",0,0,0,0,0,0,0,2,0,0
"PIK3C2G",0,0,0,0,0,1,0,50,2,1
"EPYC",0,0,0,0,0,2,0,0,0,0
"LUM",0,0,0,0,10,0,0,0,0,0
"DCN",0,0,0,0,0,0,0,2,4,0
"ENSG00000258148",0,0,0,0,0,0,0,0,0,0
"ENSG00000257452",25,49,44,43,31,9,17,7,0,0
"ENSG00000258159",0,2,0,2,0,0,0,0,0,0
"COX6A1",313,210,483,294,369,236,1013,1460,1755,1241
"ENSG00000111780",0,0,0,0,0,0,0,0,0,0
"TRIAP1",146,160,196,170,290,306,1227,1994,1104,1618
"GATC",1,2,2,0,0,0,38,31,74,98
"RPL31P52",0,0,0,0,4,0,0,0,0,0
"DYNLL1",832,691,706,508,756,812,3554,2658,948,998
"ENSG00000278344",0,0,0,0,0,18,0,0,0,0
"COQ5",42,40,24,102,30,0,36,2,154,149
"ENSG00000222601",0,0,0,0,0,0,0,0,0,0
"ENSG00000241030",0,0,0,0,0,0,0,0,0,0
"POP5",112,108,54,288,82,301,315,1070,345,746
"RPL11P5",0,0,0,0,0,0,0,0,1,0
"RNU6-600P",0,0,0,0,0,0,0,0,0,0
"RPL32P27",0,1,0,0,0,0,0,0,0,0
"ENSG00000272822",0,0,0,0,0,0,0,0,0,0
"DRC2",56,80,64,40,16,39,44,17,3,32
"FKBP11",0,0,0,0,21,0,0,0,183,200
"WNT10B",0,0,0,0,0,0,0,0,4,2
"RNU6-940P",0,0,0,0,0,0,0,0,0,0
"DDN",0,0,0,0,1,0,0,0,0,6
"ENSG00000258283",0,0,0,0,0,0,0,0,0,0
"RHEBL1",98,302,168,138,132,228,377,108,46,4
"ENSG00000277672",0,0,0,0,0,0,0,0,0,0
"DHH",0,0,0,0,3,0,2,9,10,0
"DHH-AS1",0,0,0,0,0,0,0,0,0,0
"TUBA1B",91,194,101,125,46,35,39,66,1196,2111
"ENSG00000200309",0,0,0,0,0,0,0,0,0,0
"ENSG00000274017",0,0,0,0,0,0,0,0,0,0
"ARF3",240,461,319,483,251,311,154,100,118,105
"ENSG00000219410",0,2,0,0,0,0,0,0,0,1
"RNU6-781P",0,0,0,0,2,23,3,2,5,6
"ENSG00000270068",0,6,0,0,2,0,6,0,0,2
"COPS7A",24,24,22,40,24,0,46,68,48,106
"ENSG00000269892",0,0,0,0,0,0,4,0,4,1
"LAG3",0,0,0,0,0,6,0,0,4,0
"RN7SL380P",0,0,0,0,0,0,0,0,0,1
"CD4",0,4,0,0,0,0,0,0,0,2
"GPR162",0,0,0,0,0,0,0,2,2,2
"P3H3",0,0,0,0,0,1,0,2,2,0
"GNB3",11,0,5,16,2,12,0,0,6,2
"RPL13P5",0,0,0,0,0,0,0,23,16,40
"LRRC23",0,0,6,0,4,0,2,0,6,18
"ENSG00000275703",0,0,2,0,0,0,0,10,0,8
"ENO2",0,0,0,0,4,52,142,277,342,334
"ATN1",4,18,18,28,14,0,8,0,37,28
"C12orf57",26,12,31,23,18,25,122,244,86,77
"RNU7-1",0,0,0,0,0,0,0,0,0,0
"PTPN6",20,24,24,56,34,0,28,0,11,17
"MIR200C",0,0,0,0,0,0,0,0,0,0
"MIR141",0,0,0,0,0,0,0,0,0,0
"ENSG00000271969",0,0,0,0,0,0,0,0,0,0
"SCARNA12",0,0,0,0,0,0,0,0,0,0
"TPI1",170,372,282,314,300,224,374,514,9610,19914
"ATXN2",760,1110,764,1032,707,1074,208,502,239,441
"ETNK1",850,1634,734,674,486,1134,425,1085,477,679
"LOC128125816",0,0,0,0,1,0,0,0,0,0
"ENSG00000258091",19,31,26,20,4,0,10,13,2,0
"RN7SL734P",0,0,0,0,0,0,0,0,0,0
"ENSG00000257329",0,0,0,0,0,0,0,0,0,0
"ENSG00000198923",0,0,0,0,0,0,0,0,0,0
"PHLDA1-AS1",0,0,0,0,0,0,0,0,0,0
"ENSG00000257839",0,0,7,0,0,0,0,0,0,0
"NAP1L1",4936,7109,7070,6258,6023,5893,4701,7712,4239,3769
"ENSG00000257941",0,0,0,0,0,0,0,0,0,0
"ENSG00000258304",0,0,0,0,0,0,0,0,0,0
"RTN4IP1P1",4,0,6,2,0,0,0,0,0,0
"RNU6-1271P",0,0,0,0,0,0,0,0,0,0
"TIGAR",72,78,29,66,1,0,6,81,128,76
"RPS15P7",0,4,0,6,0,0,0,2,8,14
"FGF23",0,0,0,0,0,0,0,0,2,6
"CCND2",1351,1956,1473,1741,1035,1186,278,495,2,2
"GDF11",6,0,2,0,4,34,31,116,24,64
"SARNP",0,0,0,0,0,0,4,5,6,10
"ENSG00000257390",0,0,0,0,2,0,0,0,0,0
"ENSG00000257509",0,0,0,0,0,0,0,0,0,0
"ORMDL2",116,110,105,118,53,81,849,1349,337,322
"MMP19",0,6,0,0,0,0,6,1,0,0
"ENSG00000257966",0,0,0,0,0,13,16,10,0,0
"ENSG00000257569",0,0,0,0,0,0,0,0,0,0
"DGKA",0,0,2,0,0,0,6,2,11,36
"ENSG00000273973",0,0,0,0,0,0,0,0,0,0
"ENSG00000258554",0,0,0,0,0,0,0,0,0,0
"LPAR5",0,0,0,0,0,0,6,4,8,0
"ACRBP",0,0,4,0,10,0,0,0,1,0
"ING4",8,6,10,18,8,0,6,105,59,15
"PTMS",12,6,4,8,4,0,2,14,74,18
"ENSG00000258679",0,0,0,0,0,0,0,6,4,0
"ENSG00000273536",0,0,0,0,0,0,0,0,0,0
"ENSG00000258816",0,0,0,0,0,0,0,0,0,0
"LOC124900330",0,0,0,0,0,0,0,0,0,0
"SDR9C7",0,0,0,0,0,0,0,0,0,0
"ENSG00000278400",0,0,0,0,0,0,0,0,0,0
"LOC390332",0,0,0,0,0,0,0,0,0,0
"ENSG00000287715",1,2,0,0,0,0,2,0,0,1
"ACKR5",0,0,0,0,0,0,0,2,0,4
"ZBTB39",508,408,274,384,224,118,44,6,8,9
"TAC3",0,0,0,0,2,2,0,0,0,0
"MYO1A",0,0,0,0,8,2,0,0,4,0
"NEMP1",954,1266,1156,944,554,86,181,252,139,107
"NAB2",0,0,0,0,0,0,0,0,12,0
"STAT6",0,0,0,0,0,0,20,0,11,20
"HDAC7",0,0,0,0,0,1,0,0,11,16
"ENSG00000268069",0,0,0,0,0,0,0,0,0,0
"ENSG00000276691",0,0,0,0,0,0,0,0,0,0
"ENSG00000274737",0,0,0,0,0,0,0,0,0,0
"ENSG00000257488",0,0,0,0,0,0,0,0,2,0
"VDR",2,0,0,0,7,0,4,4,10,0
"ENSG00000205537",0,0,0,0,0,0,0,2,2,0
"ENSG00000278385",0,0,0,0,0,0,0,0,0,0
"ENSG00000279840",2,0,4,2,0,0,0,0,2,0
"TMEM106C",106,140,134,236,190,264,116,40,284,244
"COL2A1",0,0,8,0,4,4,0,0,9,6
"ENSG00000258203",0,0,0,0,0,0,0,0,0,0
"ENSG00000257985",0,0,0,0,0,0,0,0,0,0
"ENSG00000257955",0,0,0,0,0,0,0,0,0,0
"ENSG00000276814",2,0,0,0,0,0,0,0,2,0
"SENP1",102,270,151,156,104,48,138,478,171,110
"RPL37P19",0,0,0,0,0,0,0,0,2,0
"RNU6-1203P",0,0,0,0,0,0,0,0,0,0
"ENSG00000226138",6,0,0,0,0,0,2,0,0,4
"MIR6505",0,0,0,0,0,0,0,0,0,0
"MIR3908",0,0,0,0,0,0,0,0,0,0
"ENSG00000247373",0,0,0,0,0,0,7,11,17,16
"TMED2",1599,1561,1849,1195,804,1019,469,726,1601,1394
"DDX55",242,292,203,168,110,178,40,52,145,332
"SNORA9B",0,0,0,0,0,0,0,0,0,0
"EIF2B1",478,1188,822,1090,371,380,378,382,390,884
"GTF2H3",19,98,57,30,70,2,80,74,223,262
"ENSG00000279953",0,0,0,0,0,0,0,0,0,0
"ENSG00000278861",0,2,0,0,0,0,0,0,0,2
"ENSG00000255839",0,0,0,0,0,0,0,0,0,0
"ATP6V0A2",21,81,14,21,42,0,28,4,128,142
"ENSG00000286092",0,0,0,0,1,2,0,0,2,0
"RPL27P12",0,0,0,0,0,0,0,0,0,0
"ENSG00000280300",0,0,0,0,0,0,0,0,0,0
"DNAH10",1252,1753,1375,1585,587,370,250,171,3,8
"DNAH10OS",7,0,4,4,0,0,0,0,4,0
"SRRM4-AS1",0,0,0,0,0,0,0,0,0,0
"LOC105370024",0,0,0,0,0,0,0,0,1,0
"HSPB8-AS1",0,0,0,0,0,0,1,0,0,0
"ENSG00000213144",0,2,6,0,0,2,2,2,2,6
"ENSG00000256311",0,0,0,0,0,0,0,4,4,0
"LINC00934",0,0,0,0,0,0,0,0,0,0
"HSPB8",0,0,0,0,0,34,0,0,296,494
"ENSG00000257037",0,0,0,0,0,0,0,0,0,0
"PPFIBP1",46,124,71,122,44,191,47,113,136,192
"ENSG00000248100",4,0,0,0,0,0,0,0,10,4
"ENSG00000256056",0,0,0,0,7,0,0,0,0,2
"ENSG00000256557",0,0,0,0,0,0,0,0,2,0
"ENSG00000256377",0,0,0,0,5,0,3,0,10,0
"REP15",0,0,0,0,0,0,0,0,1,0
"ENSG00000276261",0,0,0,0,0,0,0,0,0,0
"HMGB1P49",0,0,0,0,0,0,0,0,0,0
"ENSG00000256504",0,0,0,0,0,0,0,0,2,0
"MRPS35",661,824,983,818,476,606,854,872,1603,1436
"ENSG00000252585",0,0,0,0,0,0,0,0,0,0
"KLHL42",293,487,349,156,125,222,44,120,139,107
"ENSG00000256747",0,0,0,0,0,0,0,0,0,0
"ENSG00000256512",0,0,0,0,0,0,0,0,0,0
"RN7SKP15",0,0,0,0,0,0,0,0,0,0
"ENSG00000274075",0,0,0,0,0,0,0,0,0,0
"ENSG00000256378",0,0,0,0,0,0,0,0,0,0
"PTHLH",1,0,0,0,0,0,0,0,42,0
"CEP290",301,228,230,276,181,917,36,2,155,172
"ENSG00000241749",0,0,0,0,0,0,0,0,4,0
"ENSG00000277945",0,0,0,0,5,0,2,0,0,0
"HMGA2-AS1",0,0,0,0,0,0,0,0,6,58
"ENSG00000256083",0,0,0,0,5,0,0,0,2,0
"MIR6074",0,0,0,0,0,0,2,0,0,0
"LINC02425",0,0,0,0,0,0,0,0,0,0
"RPL21P18",0,4,0,0,0,0,0,0,2,0
"RNA5SP362",0,0,0,0,0,0,0,0,0,0
"RN7SL69P",0,0,0,0,0,0,0,0,0,0
"ENSG00000255775",1,6,0,0,0,0,0,0,0,1
"ENSG00000202318",0,0,0,1,0,0,0,0,0,0
"ENSG00000256103",0,2,0,0,0,0,0,0,0,0
"RN7SL391P",0,0,0,0,0,0,0,0,0,0
"VWF",53,40,49,48,8,0,12,0,21,0
"LINC01498",829,849,724,1351,752,760,300,542,0,0
"FICD",54,78,48,60,12,6,22,0,21,32
"SART3",227,282,201,268,140,357,114,205,131,143
"ENSG00000287202",0,0,0,0,0,8,0,0,3,1
"ISCU",516,568,306,940,234,470,410,644,1206,1848
"TMEM119",0,0,0,0,0,0,0,2,2,0
"ENSG00000257221",0,0,0,0,0,0,0,0,2,3
"MIR4496",0,0,0,0,0,0,0,0,0,0
"RNU7-169P",0,0,0,0,0,0,0,0,0,0
"EMP1",0,0,0,2,0,0,0,0,4,2
"ENSG00000286869",0,0,0,0,0,0,0,0,0,0
"LINC01559",3,3,0,38,0,0,0,0,24,15
"RNA5SP353",0,0,0,0,8,0,10,0,0,0
"RNU6-590P",0,0,0,0,0,0,0,0,0,0
"ENSG00000256306",17,39,38,46,28,116,14,1,1,0
"ENSG00000277935",0,0,0,0,0,0,0,0,0,0
"LOC105369668",0,0,0,0,0,0,0,0,2,0
"ENSG00000200475",0,0,0,0,0,0,0,0,0,0
"ENSG00000256346",0,0,0,0,0,0,0,0,2,0
"EIF4B",939,1474,1206,1402,733,521,470,891,820,800
"SLCO1C1",0,0,0,0,0,0,1,0,20,47
"KIF21A",0,0,0,2,23,10,26,2,369,638
"NELL2",0,0,0,0,10,0,86,81,28,16
"LDHB",0,0,0,0,1,0,101,118,968,663
"KERA",0,0,0,0,0,0,0,0,0,0
"RAB3IP",20,6,48,26,40,0,135,312,410,489
"LRIG3",275,329,266,534,186,192,156,68,218,294
"ZNF385A",0,0,0,0,0,0,0,0,5,0
"CD163L1",81,38,69,47,80,411,24,61,12,6
"RFX4",20,4,8,0,15,219,4,0,6,1
"TPCN1",14,2,8,9,16,0,2,0,30,2
"SELPLG",0,0,2,0,0,0,0,0,14,4
"SSPN",0,0,0,0,0,0,0,2,12,1
"CORO1C",258,469,368,323,240,352,245,399,1032,1393
"AQP2",0,0,0,0,0,0,0,0,6,0
"WSB2",47,107,60,104,54,35,17,42,74,74
"PDE3A",256,454,513,363,201,466,55,24,1,13
"MED13L",483,539,458,423,402,685,286,132,988,658
"KLRC1",0,0,0,0,0,0,0,0,2,0
"LINC02909",592,934,692,820,419,657,28,96,2,0
"CENPUP2",0,0,0,0,0,0,0,0,0,0
"ENSG00000258449",0,0,0,0,0,0,0,0,0,0
"ENSG00000276842",0,0,0,0,0,0,0,0,0,0
"DNAI7",3235,5009,2511,3208,1197,1531,279,522,4,2
"ETFRF1",1568,1542,1369,1030,884,629,284,286,96,46
"ENSG00000274987",0,0,0,0,0,0,0,0,4,19
"ENSG00000275197",0,0,0,0,0,0,0,0,0,0
"RNU4-67P",0,0,0,0,0,0,0,0,0,0
"ENSG00000241846",0,0,0,0,0,0,0,0,0,0
"ENSG00000279173",0,0,0,0,0,0,0,0,0,0
"FAM133GP",0,0,0,0,0,0,0,0,0,0
"TUBB4BP1",0,0,0,0,0,0,0,0,0,0
"MANSC4",0,0,0,0,17,8,34,44,0,0
"ENSG00000258168",72,62,64,163,33,29,29,116,54,31
"ENSG00000277247",0,0,0,6,0,0,3,0,4,0
"ENSG00000257302",8,0,1,0,2,0,0,0,0,0
"FOXN4",6,12,9,15,2,0,0,9,2,6
"LINC01486",0,0,0,0,0,0,0,0,0,0
"ENSG00000255655",0,0,0,0,0,0,0,5,0,0
"KCTD10",656,1121,964,1140,491,837,109,262,48,178
"UBE3B",248,243,296,176,137,250,44,128,36,28
"MMAB",12,4,6,0,16,0,2,1,77,188
"RNU4-32P",0,0,0,0,0,0,0,0,0,0
"RN7SKP250",0,0,0,0,0,0,0,0,0,0
"ZCCHC8",318,498,388,242,259,778,399,128,342,827
"ENSG00000252192",0,0,0,0,0,0,0,0,0,8
"ENSG00000275265",0,0,0,0,1,0,0,0,0,0
"RSRC2",846,1375,1050,1078,1009,1762,3213,7235,1522,2196
"KNTC1",664,1171,727,521,373,811,321,605,507,765
"ENSG00000255972",0,0,0,0,0,0,0,0,0,0
"ENSG00000274191",0,0,0,0,0,0,0,0,2,0
"ENSG00000256249",2,0,0,0,0,0,0,0,0,0
"HCAR2",0,0,0,0,0,2,3,0,33,26
"HCAR3",0,0,0,0,0,0,0,0,9,0
"HCAR1",0,0,0,0,0,0,0,0,2,4
"ENSG00000256044",0,0,0,0,0,0,0,0,0,0
"ENSG00000206914",0,0,0,0,0,0,0,0,0,0
"CCDC62",15,0,8,2,15,21,30,132,3,6
"HIP1R",80,108,106,183,92,154,42,24,36,32
"VPS37B",46,109,75,61,9,9,16,28,19,12
"ENSG00000256152",0,0,0,0,0,0,0,0,0,0
"ENSG00000280138",4,0,12,0,0,0,1,46,8,0
"ENSG00000256028",0,0,0,0,0,0,0,0,0,0
"MIR4304",0,0,0,0,0,0,0,0,0,0
"PITPNM2-AS1",0,0,0,0,0,0,0,1,0,0
"ENSG00000280381",2,0,0,0,0,0,0,4,2,10
"ENSG00000280120",0,0,0,7,0,0,7,0,11,40
"ENSG00000260122",0,0,0,0,0,0,0,0,0,0
"ENSG00000260473",0,0,0,0,0,2,0,0,0,0
"ENSG00000261586",0,0,0,0,0,0,0,0,0,0
"FIGNL2-DT",0,0,0,0,0,0,0,0,0,0
"ANKRD33",0,0,0,0,0,2,0,0,0,8
"LOC102724178",0,0,0,0,0,0,0,0,0,0
"ACVRL1",0,0,0,0,2,0,0,0,0,4
"ACVR1B",685,803,738,596,332,334,102,90,44,51
"RNU6-574P",3,0,3,0,8,0,2,0,4,0
"TAMALIN",0,2,6,0,16,0,0,0,10,0
"NR4A1",0,6,0,1,2,4,0,4,2,5
"NR4A1AS",0,0,0,0,0,0,0,0,0,0
"ENSG00000257663",0,0,0,0,0,0,0,0,0,1
"C12orf42-AS1",0,0,0,0,0,0,0,18,4,0
"ENSG00000257415",0,0,0,0,0,0,0,0,2,0
"ENSG00000257994",0,0,0,0,0,0,0,0,0,0
"ENSG00000286197",0,0,0,0,0,0,0,0,0,0
"LINC02401",0,0,0,1,0,0,0,2,2,0
"STAB2",63,107,101,167,146,3,38,63,17,1
"LOC124900318",0,0,0,0,0,0,0,0,0,0
"ENSG00000257737",17,28,22,36,12,0,1,0,0,0
"ENSG00000257766",0,0,0,0,0,0,0,0,1,2
"ENSG00000257681",2,2,0,0,0,0,0,6,2,4
"KIF5A",0,0,0,0,4,99,0,58,38,29
"ENSG00000258921",0,0,0,0,0,0,0,0,0,0
"OR10AE3P",0,0,0,0,0,0,0,0,0,0
"PSMB3P1",0,0,0,0,0,0,0,0,0,0
"ENSG00000270458",0,0,0,0,0,0,0,0,0,0
"ENSG00000258311",0,0,0,0,0,0,0,0,0,0
"RDH5",0,0,0,0,0,0,5,0,0,0
"CD63",0,1,16,0,6,0,108,82,1473,1970
"ENSG00000258045",0,0,0,0,0,0,0,0,0,0
"ENSG00000257384",0,0,0,0,0,0,0,0,4,0
"ENSG00000275898",0,0,0,0,0,0,0,0,2,0
"ENSG00000258249",0,0,0,0,0,0,0,0,0,0
"ENSG00000257883",0,24,4,42,25,2,71,73,0,0
"ENSG00000257654",0,0,2,12,3,0,2,13,0,0
"SPRING1",188,111,160,66,90,138,94,364,73,86
"RPL21P105",0,6,0,0,0,0,10,34,34,26
"RNU6-558P",0,0,0,0,0,0,0,0,0,0
"ENSG00000275467",0,0,0,0,0,0,0,0,0,0
"HRK",0,0,0,0,0,0,0,0,10,26
"RPL36P15",0,0,0,0,0,0,0,0,0,0
"ENSG00000274554",0,0,0,0,0,0,0,0,0,0
"OR6C70",0,0,0,0,0,0,0,0,0,0
"OR6C68",0,0,0,0,0,0,0,0,0,0
"OR6C64P",0,0,0,0,0,0,0,0,0,0
"ENSG00000135502",0,0,0,0,0,0,0,0,0,0
"SCNN1A",0,0,0,1,0,0,0,0,33,34
"LTBR",0,0,0,4,0,0,0,0,52,62
"ENSG00000256433",0,0,3,0,0,0,0,1,0,0
"RPL31P10",0,0,0,0,0,0,0,0,2,0
"ENSG00000224906",0,8,4,6,6,2,14,28,24,14
"TAPBPL",0,0,0,0,0,1,2,3,0,0
"ENSG00000276718",0,0,0,0,0,0,0,0,2,0
"ENSG00000256913",0,0,0,0,0,0,0,0,2,0
"CD9",188,209,183,266,244,106,169,333,1648,1680
"RNU6-343P",0,0,0,0,0,0,0,0,0,0
"ATP5F1B",1852,2098,1988,1654,1162,814,605,464,10965,18061
"SNORD59A",0,0,0,0,0,0,0,0,0,0
"PTGES3",7300,8238,7784,6378,3338,2833,1728,2132,5737,6129
"RN7SL809P",0,0,0,0,0,0,0,0,0,0
"ENSG00000285625",0,0,0,0,0,0,0,0,0,0
"HSD17B6",8,24,18,0,0,0,11,2,56,62
"NACA",676,753,845,919,1111,831,3183,6145,8440,8643
"SLC61A1",172,40,144,52,212,2,90,246,150,162
